feature,importance
team,1609
opponent_team,1048
value,678
total_points_season_avg,284
GW,267
opponent_gw3,240
fdr_defence_gw3,239
us_time_roll10,227
opponent_gw2,226
us_xgbuildup_roll10,225
us_xgchain_lag1,207
us_xgbuildup_lag1,194
bps_season_avg,192
us_shots_roll10,191
bps_roll5,189
xg_momentum,188
bps_momentum,187
points_momentum,184
minutes_season_avg,183
games_since_start,175
us_time_roll5,174
fdr_attack_gw3,174
us_xgbuildup_roll5,171
position,170
influence_lag1,170
us_xgchain_roll10,169
ict_index_lag1,167
was_home_gw3,163
expected_goals_conceded_lag1,163
ict_index_roll10,160
threat_season_avg,159
threat_roll3,159
us_xgchain_roll5,158
fdr_gw3,158
influence_roll10,158
fdr_defence_gw2,158
us_xgbuildup_roll3,157
creativity_roll3,157
total_points_roll10,156
minutes_trend,156
ict_index_roll5,156
bps_roll3,152
influence_season_avg,151
us_time_roll3,149
us_xa_roll3,148
us_xgchain_roll3,148
bps_lag1,148
ict_index_roll3,147
influence_roll3,146
expected_assists_season_avg,145
threat_roll10,144
influence_roll5,143
creativity_roll5,143
season,142
creativity_roll10,142
us_xa_roll10,140
us_xa_roll5,140
minutes_roll3,137
minutes_roll10,137
expected_goal_involvements_lag1,136
creativity_lag1,134
bps_roll10,134
threat_roll5,133
creativity_season_avg,132
expected_goals_season_avg,132
total_points_roll3,132
us_xg_roll3,131
expected_assists_roll5,131
expected_assists_roll3,129
us_xg_roll10,129
threat_lag1,125
minutes_lag1,125
bonus_roll10,125
total_points_roll5,123
minutes_roll5,119
expected_assists_roll10,118
us_time_lag1,116
fdr_attack_gw2,115
us_key_passes_roll5,115
expected_goals_lag1,110
us_npxg_roll5,109
us_npxg_roll3,106
us_xg_roll5,106
us_xg_lag1,105
expected_goal_involvements_roll3,104
expected_assists_lag1,104
us_xa_lag1,104
us_shots_roll5,102
us_key_passes_roll10,101
expected_goal_involvements_roll10,98
us_npxg_roll10,97
us_npxg_lag1,96
expected_goals_roll5,96
expected_goals_conceded_roll5,95
expected_goal_involvements_roll5,90
us_key_passes_roll3,89
total_points_lag1,87
us_shots_roll3,84
expected_goals_roll3,83
expected_goals_conceded_roll10,83
expected_goals_roll10,76
expected_goals_conceded_roll3,74
bonus_roll5,70
consecutive_starts,40
was_home_gw2,35
us_shots_lag1,29
was_home,24
starts_roll10,23
fdr_gw2,22
bonus_roll3,22
us_key_passes_lag1,19
bonus_lag1,11
starts_roll5,11
starts_roll3,7
starts_lag1,5
played_lag1,1
