test_season,n_train_seasons,rows_train,rows_test,model_mae,model_rmse,model_r2,zero_mae,zero_rmse,zero_r2,mean_mean_value,mean_mae,mean_rmse,mean_r2,improve_vs_zero_mae_improve,improve_vs_zero_rmse_improve,improve_vs_zero_r2_improve,improve_vs_mean_mae_improve,improve_vs_mean_rmse_improve,improve_vs_mean_r2_improve
2019-20,3,64049,21229,1.2944979009050173,2.229720102322045,0.20817516901860555,1.3915398746997032,2.8598210565655786,-0.3025851932151289,1.3768677106590266,1.6633312022715403,2.505739198717417,-3.50115262781614e-07,0.09704197379468593,0.6301009542435336,0.5107603622337344,0.36883330136652304,0.2760190963953719,0.20817551913386834
2020-21,4,85278,22946,1.1715007663640864,2.1473979835243386,0.2354370329311256,1.3035823237165518,2.774540275134278,-0.27635135354374407,1.3772368019887895,1.6664589447290983,2.4573855649219145,-0.0012321398260597416,0.1320815573524654,0.6271422916099394,0.5117883864748697,0.4949581783650119,0.3099875813975759,0.23666917275718535
2021-22,5,108224,23974,1.1821261319313698,2.152923939768508,0.22593391378956473,1.2458913823308584,2.7398766701894637,-0.2536684461933818,1.3589591957421645,1.6480461017866936,2.4502995967491463,-0.0026723606049019466,0.06376525039948855,0.5869527304209559,0.47960235998294654,0.4659199698553238,0.2973756569806385,0.22860627439446668
2022-23,6,132198,24952,1.1372309316582443,2.0402429720419484,0.24956302974326416,1.2094822058352035,2.6417568867216374,-0.258160762083143,1.3360186992238914,1.5840689947328563,2.3593032021096056,-0.0035013350837773682,0.0722512741769592,0.6015139146796891,0.5077237918264071,0.44683806307461205,0.31906023006765727,0.25306436482704153
2023-24,7,157150,27999,0.9961082564374121,1.9884076295781128,0.25594724683540837,1.0720740026429516,2.535599599878631,-0.20991325726889243,1.313891186764238,1.550960405760594,2.319537998928542,-0.012501952597361532,0.07596574620553953,0.5471919703005184,0.4658605041043008,0.5548521493231818,0.3311303693504293,0.2684491994327699
