test_season,stage1_auc,stage1_accuracy,stage1_precision,stage1_recall,stage1_f1,mae_full_hard,mae_full_soft,rmse_full_hard,rmse_full_soft,mae_played_hard,mae_played_soft,rmse_played_hard,rmse_played_soft,mae_not_played_hard,mae_not_played_soft,n_train,n_train_played,n_test,n_test_played,pct_test_played
2019-20,0.876654516576717,0.8030053229073437,0.7600079074824553,0.8142539447209574,0.7861963190184049,1.374368964437827,1.3050436228792093,2.3516545758980456,2.2251185922501193,2.2798403504627425,2.0170771451691887,3.0968804466196773,3.043382598225229,0.6489009262371419,0.7345589333336235,64049,27825,21229,9443,44.481605351170565
2020-21,0.885696920817522,0.8131264708445917,0.752954247045753,0.8018715714746693,0.7766434003542035,1.2137852974214194,1.1755879289592441,2.2243444318112875,2.1486178393143622,2.2177119526702107,2.0143856277632084,3.1115459045203178,3.1165934842526393,0.5299618587923615,0.6042418812062618,85278,37268,22946,9297,40.516865684650924
2021-22,0.882924172746536,0.8118795361641779,0.7471252460375013,0.7770714362676435,0.7618041618252879,1.2138457366038524,1.166874614761674,2.257199196226798,2.147720234282571,2.3127005950661723,2.059235971289187,3.2110935398271185,3.1650155042338524,0.5197416093739615,0.6032044487008391,108224,46565,23974,9281,38.71277216985067
2022-23,0.9014522165986758,0.8271481243988458,0.7855125100887813,0.7807079113606739,0.7831028413376917,1.1489106095631456,1.089737639055994,2.1381682254172634,2.027727454093885,2.204583151892726,1.9050767729108213,3.023163299713996,2.971050333423772,0.4460451135585456,0.5468858344005305,132198,55846,24952,9973,39.96873998076306
2023-24,0.9002217791738039,0.8324225865209471,0.7521200896773564,0.782159148504815,0.7668455575432319,1.055503132698222,1.0056406412081067,2.083524290987827,1.992572536562341,2.226703911835063,1.966479866558798,3.128746368835321,3.093826419058541,0.4183631919137877,0.482938592124365,157150,65819,27999,9865,35.23340119289974
2024-25,0.8935560851136198,0.8258651808836224,0.7807467057101025,0.8068848118025346,0.793600595293461,1.1681591144529373,1.1001542420883477,2.1147500610676633,2.0276293816074826,2.138352704898389,1.8590896870070897,2.9319892958327576,2.9097584990269127,0.48020129354560054,0.5619981668086552,185149,75684,12743,5287,41.48944518559209
2025-26,0.9061004284343723,0.8351039260969977,0.7908045977011494,0.7972190034762456,0.79399884593191,1.1134524297968464,1.0849888144973046,2.1335836498532657,2.0827842562324577,2.1870066432373845,1.9856617596974895,3.0850105692177205,3.0999973924746573,0.40187233286966983,0.4879989898369669,197892,80971,4330,1726,39.86143187066975
