feature,importance
team,2748
opponent_team,1620
value,1411
GW,1263
creativity_roll5,723
minutes_roll5,688
us_xgchain_roll5,679
us_time_roll5,676
influence_roll5,664
ict_index_roll5,622
us_xgbuildup_roll5,618
influence_roll3,611
bps_roll5,584
minutes_roll3,580
us_xgchain_roll3,578
us_time_roll3,573
us_xgbuildup_roll3,570
creativity_roll3,549
threat_roll5,513
total_points_roll5,509
us_time_lag1,498
expected_goal_involvements_roll5,497
us_xgchain_lag1,484
influence_lag1,474
ict_index_roll3,471
us_xgbuildup_lag1,465
bps_roll3,461
expected_assists_roll5,459
creativity_lag1,444
expected_goal_involvements_roll3,430
us_xa_roll5,403
us_xa_roll3,398
ict_index_lag1,392
expected_goals_roll5,390
season,382
expected_assists_roll3,377
threat_roll3,377
expected_goal_involvements_lag1,371
us_shots_roll5,321
us_xg_roll5,321
total_points_roll3,310
position,309
us_key_passes_roll5,302
expected_goals_conceded_roll5,285
bps_lag1,281
us_xg_roll3,278
us_npxg_roll5,273
us_xa_lag1,271
total_points_lag1,263
expected_goals_roll3,260
expected_assists_lag1,255
minutes_lag1,254
expected_goals_lag1,254
expected_goals_conceded_roll3,247
threat_lag1,244
us_npxg_roll3,224
us_xg_lag1,218
expected_goals_conceded_lag1,213
us_shots_roll3,172
us_npxg_lag1,172
bonus_roll5,120
us_key_passes_roll3,113
was_home,95
starts_roll5,84
bonus_roll3,75
us_shots_lag1,63
starts_lag1,53
us_key_passes_lag1,45
starts_roll3,32
played_lag1,22
bonus_lag1,19
