feature,importance
value,12.917062962640978
GW,6.412481598032833
total_points_season_avg,5.795094904623499
bps_season_avg,4.390325745915981
minutes_lag1,4.380229791238046
minutes_season_avg,3.9951234810440983
games_since_start,3.3147031696858784
position,3.2248216812007335
minutes_trend,3.2180802786186073
influence_season_avg,2.9267583888635715
creativity_roll5,2.9142864201191934
minutes_roll10,2.5244269165963913
total_points_roll10,2.4521111853255237
creativity_roll10,2.1204445256916813
ict_index_roll10,2.0220922150307024
played_lag1,1.955328094373001
total_points_roll3,1.901060621501013
minutes_roll5,1.5751653288970147
ict_index_lag1,1.5664737585159574
minutes_roll3,1.5310131536489977
us_xg_roll10,1.4146796433842925
influence_roll10,1.3402512641306463
bps_roll10,1.2004161705796146
bps_roll5,1.170812631650812
us_time_roll10,1.0810300680967702
creativity_season_avg,1.080125886658954
threat_season_avg,1.0213191784474038
ict_index_roll3,0.9992977255522627
us_time_lag1,0.9364748284080755
us_xgchain_roll10,0.9337827079808599
us_key_passes_roll3,0.9273862628380801
us_xa_roll10,0.8010483506020075
team,0.7749240480151718
influence_roll5,0.77419603042692
us_npxg_roll10,0.718078194181005
us_xgchain_roll5,0.606134551440408
total_points_roll5,0.5838954517977755
us_xgbuildup_roll10,0.5715358248175967
us_xgbuildup_lag1,0.5677812324018899
ict_index_roll5,0.4986296243679561
us_npxg_lag1,0.4929318616339507
us_shots_roll10,0.49187098904456894
threat_roll10,0.47410666986431566
us_key_passes_roll10,0.46391545643182275
influence_roll3,0.4517043372191931
us_time_roll3,0.44643383899368166
us_key_passes_roll5,0.4269495242128272
us_npxg_roll3,0.3978958628419612
bps_momentum,0.3941485444660542
us_time_roll5,0.3940807313095473
us_shots_lag1,0.3752704938925875
opponent_gw2,0.36975560164439114
bps_roll3,0.3489509836548286
was_home_gw2,0.3298397606186117
us_xg_roll5,0.29704223021996845
total_points_lag1,0.21320617704031417
us_shots_roll5,0.2069504853080253
fdr_attack_gw2,0.19737731946737724
points_momentum,0.17488475921220173
was_home,0.16608591266155096
season,0.16461641939000407
us_xg_roll3,0.16148146666981467
expected_assists_season_avg,0.14332591541607057
expected_goals_season_avg,0.1363866088005598
creativity_roll3,0.13459866570078424
us_xgbuildup_roll3,0.12376735382739583
opponent_gw3,0.12131108931642354
expected_goals_roll5,0.1148556910168259
fdr_defence_gw3,0.11160628062407354
us_key_passes_lag1,0.10831122670826329
us_xgchain_lag1,0.10271444212882073
xg_momentum,0.09908447432285888
expected_goals_conceded_lag1,0.09725846270079995
threat_roll5,0.09664935634018249
expected_goal_involvements_roll10,0.0952897801517924
bonus_roll10,0.09115243193150627
us_xgbuildup_roll5,0.0877821903450848
expected_goals_conceded_roll10,0.08664329193992559
expected_assists_roll5,0.08635389830966961
fdr_attack_gw3,0.0794529559429011
starts_roll3,0.07529208550005947
fdr_defence_gw2,0.07518379369590249
bps_lag1,0.0738979601515804
expected_assists_roll10,0.07039841318063776
starts_roll5,0.06771046885841756
threat_lag1,0.06769049600281063
creativity_lag1,0.06581491025600651
expected_goal_involvements_roll5,0.0603380261054483
fdr_gw3,0.05901618608316245
influence_lag1,0.05629035358904087
expected_goal_involvements_roll3,0.05622535925304275
us_shots_roll3,0.05534870785889297
us_xa_roll5,0.053511808718651445
threat_roll3,0.05016457473087151
us_xgchain_roll3,0.04727848397188896
expected_assists_lag1,0.042960609266277115
expected_goals_conceded_roll3,0.04166936907906195
us_xa_lag1,0.03961433859904506
expected_goal_involvements_lag1,0.039401524817987206
us_npxg_roll5,0.03625700876145169
expected_goals_roll10,0.0324609918144392
bonus_roll5,0.03237180639517555
expected_assists_roll3,0.032114006868303256
expected_goals_lag1,0.02974800655708755
expected_goals_roll3,0.029642164278168587
us_xg_lag1,0.02765810038775283
consecutive_starts,0.026474017142200906
was_home_gw3,0.02470332835975749
us_xa_roll3,0.02468412879923095
fdr_gw2,0.023785281254352756
expected_goals_conceded_roll5,0.01884315472206231
bonus_roll3,0.01861912170437477
starts_roll10,0.01620715943491662
opponent_team,0.01260163194067948
bonus_lag1,0.010681762285627025
starts_lag1,0.010413420911893545
