feature,importance,importance_pct
minutes_lag1,0.44589813159649777,20.713366293566143
value,0.1637322482630133,7.605876302280386
total_points_season_avg,0.12207498177269334,5.670765660499278
minutes_roll3,0.12194197338389916,5.664587003801734
position,0.08897167333031601,4.133013190353588
us_time_lag1,0.08636011812264935,4.011698262617537
ict_index_roll3,0.08181114101794264,3.8003840131196216
total_points_roll10,0.06423145443694687,2.9837524516136247
team,0.05756674974135246,2.674156021810191
total_points_roll3,0.0493416216037133,2.2920730305304495
opponent_team,0.043862942635104395,2.0375712144422287
minutes_roll5,0.038752177641163045,1.800160156044616
ict_index_roll10,0.03844905468016703,1.786079144086525
minutes_season_avg,0.03172856594998446,1.4738913709697194
was_home,0.025717670201054844,1.194666416708896
ict_index_lag1,0.02103607123550572,0.9771914659487279
expected_goals_conceded_lag1,0.018901514627670375,0.8780346187689879
GW,0.018836907485707374,0.8750334144538484
influence_roll10,0.0180945124553127,0.8405468375668129
bps_season_avg,0.018080974434254455,0.8399179540411849
expected_goals_conceded_roll3,0.017815731007323258,0.827596565208907
ict_index_roll5,0.017750830934327513,0.8245817533288328
bps_roll3,0.016587893857899362,0.7705596798247812
influence_roll3,0.01620383106554002,0.7527187589189548
starts_lag1,0.015548642036496146,0.7222831742226894
total_points_roll5,0.015370901665330948,0.7140265766901599
minutes_roll10,0.013991456224746644,0.6499470108249487
season,0.013347449700951008,0.6200308885593895
starts_roll10,0.013000657866302636,0.6039213204995937
expected_goals_conceded_roll5,0.012687470551943632,0.5893727877717494
minutes_trend,0.012637609822821317,0.5870566005693563
us_xgchain_lag1,0.012613700080012238,0.5859459180486285
us_npxg_lag1,0.01185465171872,0.5506857417261029
creativity_lag1,0.011075369962286424,0.5144856607589345
expected_goals_conceded_roll10,0.010997246562160511,0.5108565838728911
creativity_season_avg,0.01060992918092407,0.49286447710919845
influence_season_avg,0.010591842748912535,0.4920243056335808
consecutive_starts,0.010570156114695186,0.49101689347733296
points_momentum,0.010497303649320626,0.4876326680371193
expected_assists_lag1,0.010395440852785104,0.48290082175471194
us_xgbuildup_lag1,0.009934001113545142,0.4614654990565352
threat_season_avg,0.009867618991696218,0.4583818413603753
us_time_roll3,0.00923715591699347,0.4290948547696726
us_xgbuildup_roll10,0.008563977233132259,0.39782359420189783
starts_roll5,0.008466141096247512,0.3932787988855652
us_xgchain_roll10,0.008368612520250002,0.3887482907367793
us_npxg_roll3,0.008192155797720492,0.3805513227081637
us_shots_roll10,0.007869692517685553,0.36557189229056175
games_since_start,0.007846026895214374,0.3644725499249508
creativity_roll3,0.007633329676571762,0.3545920972224624
bps_momentum,0.007492357929603023,0.3480435175691846
expected_goal_involvements_roll10,0.007385939368722934,0.34310004174870695
bps_roll10,0.00731908542175346,0.3399944662963243
creativity_roll10,0.007314247718957494,0.33976973983318914
influence_lag1,0.007262793998788346,0.33737955320196406
influence_roll5,0.0069869024366493665,0.32456352510283726
expected_goal_involvements_roll5,0.00669329449554325,0.31092451565227924
us_xgchain_roll5,0.006687697980232823,0.3106645399686464
bps_lag1,0.006605965794373818,0.30686782367021753
xg_momentum,0.006511531146977964,0.30248103820576494
us_xgbuildup_roll3,0.006468850446120826,0.3004983858287417
us_npxg_roll10,0.006464870736450244,0.30031351583645516
bps_roll5,0.006379592719449905,0.2963520845638177
us_xgbuildup_roll5,0.006333611720349076,0.29421612298553174
expected_goals_season_avg,0.0062484753631803875,0.2902612722562385
creativity_roll5,0.006207191325123711,0.2883434992454305
us_xgchain_roll3,0.006054592136823129,0.2812547884852986
us_time_roll5,0.005933441387189108,0.27562695630550277
us_time_roll10,0.0057862321812482305,0.2687886271258737
bonus_roll10,0.005589164942318887,0.2596342359877224
us_shots_roll5,0.0053989703309236395,0.2507990999471497
us_xg_roll10,0.005177512066226254,0.24051166918579933
us_npxg_roll5,0.0047423202700906985,0.22029564574332405
expected_goals_roll5,0.004678907010926233,0.2173499010275085
us_xa_lag1,0.004433602713933272,0.20595474729854218
expected_assists_season_avg,0.004309886464315628,0.20020773960056992
expected_assists_roll3,0.004236248997405387,0.19678704837770913
us_xg_lag1,0.004225458948852905,0.19628581679103996
expected_assists_roll10,0.004198933840904065,0.19505364235928457
total_points_lag1,0.0041528634519724305,0.19291352834308245
expected_goal_involvements_lag1,0.0040913785587028,0.19005736226933187
us_xg_roll5,0.0038892598015085474,0.1806683122691103
threat_lag1,0.003852886071255367,0.1789786384516849
us_xa_roll5,0.003801600706653463,0.1765962724644248
us_xa_roll10,0.0037843023177656673,0.17579270806275626
expected_assists_roll5,0.0037057630576249065,0.1721443131751244
us_xg_roll3,0.003634388330050898,0.16882873328908493
expected_goals_lag1,0.0034827926420188645,0.16178663826282857
us_key_passes_lag1,0.0033816719124898677,0.15708926331957104
threat_roll3,0.0033661201332332216,0.15636683441163587
expected_goal_involvements_roll3,0.003351810974817265,0.15570212913789727
us_shots_roll3,0.003106940120271168,0.14432711016961483
threat_roll5,0.003092720729180086,0.14366657486957554
threat_roll10,0.003011633472161217,0.13989981753789812
bonus_roll5,0.0029085070536236128,0.1351092720514999
us_key_passes_roll3,0.0026641813107536948,0.12375957522973366
us_key_passes_roll10,0.002558788389519378,0.11886374358662005
us_xa_roll3,0.0023923812763364796,0.1111336114219681
us_key_passes_roll5,0.0021642471292267268,0.10053606499082328
expected_goals_roll3,0.0019136458121568588,0.08889484807086645
expected_goals_roll10,0.0018101912763267742,0.08408906050744479
starts_roll3,0.0014326782226078355,0.06655239549769056
bonus_roll3,0.0009458450749063517,0.04393746935730521
bonus_lag1,0.0008043459482833199,0.03736439126552526
us_shots_lag1,0.0006587679473798523,0.030601836674407724
played_lag1,0.00010251587646721034,0.004762183892918522
