feature,importance,importance_pct
ict_index_roll5,0.21451768247186112,10.844765118993834
ict_index_roll10,0.1697690615636063,8.582535369180196
value,0.14726440863039206,7.444831137375445
minutes_lag1,0.1153907444978073,5.833484245051445
total_points_season_avg,0.09261539820137321,4.682095332759925
total_points_roll3,0.08478939556906173,4.286458202104375
ict_index_roll3,0.08097769626707815,4.093760876839979
us_time_lag1,0.07836962247743803,3.961911850057018
minutes_roll3,0.07306242516268843,3.6936108519508877
total_points_roll10,0.07242240002332935,3.6612549070860116
team,0.06348966542021965,3.2096678513022043
threat_season_avg,0.040735132163507014,2.0593311251269553
expected_goal_involvements_roll3,0.0349274362139805,1.765727829914177
opponent_team,0.024925821303139185,1.2601044087170539
influence_roll3,0.024439574926520984,1.2355226228072704
us_time_roll3,0.018650555139840364,0.9428634856566803
was_home,0.01704831348262952,0.8618634756057687
minutes_trend,0.01668892691107036,0.8436949828709529
expected_goals_season_avg,0.015882727090591596,0.8029382135859124
us_time_roll5,0.015565167710047728,0.7868842601138802
games_since_start,0.015384827546208572,0.7777673113578585
expected_goal_involvements_lag1,0.015317309756828733,0.7743540050106109
total_points_lag1,0.01466398457609498,0.7413256874857321
us_xg_lag1,0.014465530865542513,0.7312930232636738
creativity_season_avg,0.01417314732277629,0.7165118135777315
minutes_roll5,0.013625725249509267,0.6888373406059651
influence_season_avg,0.013514111582903943,0.6831948034292771
expected_goals_conceded_roll3,0.012663271403186181,0.6401812774741289
minutes_roll10,0.012118364805793832,0.6126339723176633
us_xgbuildup_roll10,0.012058400150893506,0.6096025084758848
expected_goals_conceded_lag1,0.012033714232411362,0.6083545321571
us_xgchain_lag1,0.011950691954047825,0.6041574091128755
creativity_roll10,0.01164057828558794,0.5884798674954
us_xgbuildup_lag1,0.011544437593288963,0.5836195538170783
threat_lag1,0.011450379291873494,0.5788645136982943
us_key_passes_roll3,0.011118479353742106,0.5620855851243496
influence_roll10,0.010864003947435004,0.5492207901192897
total_points_roll5,0.01083471615728311,0.5477401699606538
influence_roll5,0.010712970831605703,0.5415854350870843
expected_goals_conceded_roll10,0.010531455191300868,0.5324090610844987
expected_assists_lag1,0.010139122832024408,0.5125750211307433
GW,0.009558732830101826,0.4832338816231019
minutes_season_avg,0.00955087333977115,0.48283655154938004
xg_momentum,0.009272084515156783,0.4687426116657075
us_xa_lag1,0.008729441623363398,0.44130974628519143
us_shots_roll10,0.008698894515116249,0.4397654623353205
us_npxg_roll3,0.008314196095359742,0.4203173499194376
bps_season_avg,0.008290073044138608,0.4190978288923961
creativity_lag1,0.008055373440705777,0.4072327833473328
bonus_roll10,0.007997018348701338,0.40428268963480907
expected_goals_roll3,0.007986076693276086,0.4037295432380527
us_xgbuildup_roll3,0.007884740120478378,0.39860655609176415
us_shots_lag1,0.007762670647769049,0.3924354342314217
us_npxg_roll5,0.0075035767179593505,0.37933715356678777
us_key_passes_roll5,0.007375547805085514,0.37286475710716727
ict_index_lag1,0.007248467205094147,0.3664403018258737
bps_roll10,0.006885354080797879,0.3480834162803962
us_time_roll10,0.006759753927723461,0.34173380377616636
bps_momentum,0.006725841589017055,0.3400193933664093
points_momentum,0.006487040144815753,0.3279469826327191
creativity_roll3,0.006365859823847836,0.3218208111078439
consecutive_starts,0.006161573042618465,0.3114932607920865
influence_lag1,0.006126764914745427,0.3097335644972857
us_xa_roll10,0.006121139020570976,0.30944915204138357
us_xa_roll5,0.0055915036006269,0.28267386870898703
expected_assists_roll5,0.005499478157051045,0.27802159804741916
us_npxg_lag1,0.005476192334363895,0.2768444024207705
expected_goal_involvements_roll10,0.005310453524267587,0.2684656131019378
expected_goals_conceded_roll5,0.00525276108355087,0.2655490191806122
threat_roll5,0.005237141153316313,0.26475936644608267
us_xg_roll5,0.005100276909362983,0.25784030708575595
bps_roll3,0.004970875983265645,0.25129854962531917
expected_goals_lag1,0.0049173396622239724,0.2485920649181289
threat_roll10,0.004882833535986789,0.24684763606780466
season,0.004612915863391027,0.23320216998297277
threat_roll3,0.004384551052391414,0.22165737466261926
expected_assists_season_avg,0.004283796815938688,0.21656382705161192
us_xg_roll10,0.004250365589450949,0.21487373887462924
us_npxg_roll10,0.004242447493703115,0.2144734460522125
expected_goals_roll10,0.004196229327437313,0.21213692464471046
us_xgchain_roll10,0.004075909533225018,0.20605425634267352
us_xgbuildup_roll5,0.004057154446861013,0.2051061083668965
expected_goal_involvements_roll5,0.003838718975831616,0.19406328266752168
bps_lag1,0.003802107208956603,0.19221240488543975
us_xgchain_roll5,0.0036099496026455423,0.18249803503835316
