feature,importance,importance_pct
minutes_lag1,0.4081095155185433,17.98566379988278
value,0.15646821281850556,6.8956605129543505
total_points_season_avg,0.12359198855057564,5.446782958748762
minutes_roll3,0.10702449390410261,4.716642206359756
ict_index_roll3,0.0790447104426948,3.4835541273156014
us_time_lag1,0.07205672194118569,3.175588723309042
team,0.07074918883315515,3.1179648503190367
total_points_roll10,0.0658234303630707,2.90088332579296
ict_index_roll10,0.05840574251005652,2.573980779236862
total_points_roll3,0.04730644618540068,2.084827244414506
opponent_team,0.04378633504843595,1.9296935534805244
minutes_roll5,0.04139751107174401,1.824416456799038
position,0.041050256078788316,1.809112693180108
was_home,0.02816081758748105,1.2410663760552447
minutes_season_avg,0.028003449975032145,1.2341310783891268
ict_index_roll5,0.02676361792626036,1.1794908371068429
bps_season_avg,0.024433799115741613,1.0768141382129428
expected_goals_conceded_lag1,0.024289371851733646,1.0704491305000408
ict_index_lag1,0.021948562445713866,0.9672880685905149
GW,0.01926636812833388,0.8490819415487145
influence_roll3,0.01837699046434077,0.8098864632580879
starts_lag1,0.018315126897559392,0.8071600938124315
minutes_trend,0.01809972894642773,0.797667359668962
expected_goals_conceded_roll3,0.017069687612584258,0.7522727378186176
expected_assists_lag1,0.0162673124392427,0.7169115184391635
creativity_season_avg,0.01616836501480718,0.7125508381754349
total_points_roll5,0.016102328498243744,0.7096405639959263
us_xgchain_lag1,0.015799478364435182,0.6962937527080066
threat_season_avg,0.01572256746013366,0.6929042368679889
season,0.015498515139587837,0.6830300987808124
expected_goals_season_avg,0.014768632930523568,0.6508636936209965
us_xgbuildup_lag1,0.01465134035247547,0.645694529965711
minutes_roll10,0.014388599872723163,0.6341153784003754
creativity_lag1,0.014312960154116802,0.6307818845781518
expected_goals_conceded_roll10,0.014166859715932657,0.6243431389418075
bps_roll3,0.01402780421629938,0.6182148685368622
us_shots_roll10,0.013872951093076742,0.6113903861204074
points_momentum,0.013832329006247193,0.6096001431371297
us_npxg_lag1,0.013314293906303516,0.5867699840993351
us_npxg_roll3,0.012901657244468012,0.5685848058835087
creativity_roll10,0.012796427431493998,0.5639472564858418
us_xgchain_roll10,0.012687265692597424,0.5591364244396697
expected_goal_involvements_roll10,0.012244729342592122,0.5396335466390638
influence_season_avg,0.012206310926926962,0.5379404209421543
bonus_roll10,0.01200933399804316,0.5292595137725775
us_xgbuildup_roll10,0.01184147499439409,0.5218618533637545
influence_roll10,0.011804700657545544,0.520241183338011
us_time_roll3,0.011453728480487693,0.5047736008885921
us_time_roll5,0.01085039618059452,0.478184336260197
us_xgbuildup_roll3,0.010500849268314428,0.4627795661984924
xg_momentum,0.01028168644589776,0.4531209116179659
starts_roll10,0.010217949659571113,0.4503119881134515
bps_roll10,0.009919318002429164,0.4371510879601374
expected_goals_conceded_roll5,0.009705525742214857,0.42772911770701577
bps_momentum,0.009617319835879955,0.4238418234485426
us_time_roll10,0.009172569121373132,0.4042413570989313
games_since_start,0.009123096587932589,0.40206106891658033
creativity_roll5,0.008322318219285137,0.36677022180557434
us_xg_roll10,0.008203740659880566,0.36154442814832166
us_xgchain_roll5,0.008008754937810047,0.352951274816717
us_xgbuildup_roll5,0.008000265643313203,0.35257714583684147
starts_roll5,0.007830614887468949,0.34510052169066396
creativity_roll3,0.007812985324879871,0.34432357488200344
us_xgchain_roll3,0.007761855600722163,0.3420702531781151
threat_roll5,0.007703367012942244,0.3394926213515135
expected_goal_involvements_lag1,0.0074905477043686235,0.3301135297386527
expected_goal_involvements_roll5,0.007469828765598705,0.3292004320214073
influence_lag1,0.007338636044206878,0.3234186795990287
expected_goals_roll5,0.007330282100525926,0.32305051562162707
us_npxg_roll5,0.007284778854954767,0.32104515665417815
us_xg_lag1,0.007258916469107621,0.3199053837274954
influence_roll5,0.007145967483189,0.31492764513032295
us_shots_roll5,0.007044204889344041,0.31044289843684314
bps_lag1,0.006945879084004671,0.30610961334928605
us_xa_lag1,0.006943220582468711,0.3059924513792289
expected_goals_lag1,0.006915345403378716,0.30476397328594756
bps_roll5,0.0069137933922514645,0.3046955751004435
us_xa_roll10,0.006856580887315915,0.3021741811123311
us_xg_roll3,0.006846078952472617,0.301711353704105
us_npxg_roll10,0.0068001912033821155,0.29968904940515606
threat_lag1,0.006773252529043987,0.29850184371296706
us_xa_roll5,0.006733821596187901,0.2967640956950993
expected_assists_season_avg,0.006571676421530857,0.2896182476144697
