,position,value,total_points_season_avg,team,minutes_lag1,opponent_team,was_home,us_time_lag1,bps_season_avg,expected_goals_season_avg
position,1.0,-0.23110168500453684,0.01962782606796862,0.09073986538888457,0.06798556711140093,0.0059783612139002055,0.004294442706727713,0.09864709692160617,0.24145530013831942,-0.1305261812390024
value,-0.23110168500453684,1.0,0.40330867275784654,0.2596900254477425,0.23903009571257322,0.023501213248356075,0.012582807956563446,0.16624143296284968,-0.4331236296592359,0.47651806167253746
total_points_season_avg,0.01962782606796862,0.40330867275784654,1.0,0.08551038016041608,0.5509542903092617,-0.0035833964490088323,-0.010845435723703596,0.4705508650299973,-0.5659456282228656,0.54802531603635
team,0.09073986538888457,0.2596900254477425,0.08551038016041608,1.0,0.0013148552066336344,0.14499260695150443,0.008187827060283254,0.005567125784979663,0.003162199929819418,-0.0261159293112922
minutes_lag1,0.06798556711140093,0.23903009571257322,0.5509542903092617,0.0013148552066336344,1.0,-0.017020624168432766,0.0008357218404273163,0.6224450997080071,-0.4037746126408962,0.36094714355845303
opponent_team,0.0059783612139002055,0.023501213248356075,-0.0035833964490088323,0.14499260695150443,-0.017020624168432766,1.0,0.04760493803833301,-0.024162981706097483,0.028836329144569427,0.03075453118535155
was_home,0.004294442706727713,0.012582807956563446,-0.010845435723703596,0.008187827060283254,0.0008357218404273163,0.04760493803833301,1.0,-0.012923124172968918,-0.010088915669948498,-0.013764931846983339
us_time_lag1,0.09864709692160617,0.16624143296284968,0.4705508650299973,0.005567125784979663,0.6224450997080071,-0.024162981706097483,-0.012923124172968918,1.0,-0.3790075644510082,0.2751321857623703
bps_season_avg,0.24145530013831942,-0.4331236296592359,-0.5659456282228656,0.003162199929819418,-0.4037746126408962,0.028836329144569427,-0.010088915669948498,-0.3790075644510082,1.0,-0.46731441573132343
expected_goals_season_avg,-0.1305261812390024,0.47651806167253746,0.54802531603635,-0.0261159293112922,0.36094714355845303,0.03075453118535155,-0.013764931846983339,0.2751321857623703,-0.46731441573132343,1.0
