feature,importance,importance_pct
minutes_lag1,0.4193298506097563,16.098385957871226
value,0.18180489194186183,6.979625503057541
total_points_season_avg,0.1437407856620143,5.518316051456676
minutes_roll3,0.10333833421587338,3.96723578355219
team,0.08457972663570588,3.247078836893934
ict_index_roll3,0.0830662697857162,3.1889760987600053
ict_index_roll10,0.07623341326833553,2.9266576369295407
us_time_lag1,0.07588995027394589,2.913471836209915
total_points_roll10,0.07561701787178092,2.9029937575706968
total_points_roll3,0.05158797716666602,1.9805009493295427
opponent_team,0.04945831883776521,1.8987417764798464
minutes_roll5,0.0451965556458263,1.7351295065088008
position,0.03998864886444174,1.5351940779257134
was_home,0.0318661677179383,1.2233659639915262
bps_season_avg,0.030805233306100063,1.1826359000265507
ict_index_roll5,0.03068455444855728,1.1780029486092984
minutes_season_avg,0.0306130724614019,1.1752587017673681
bonus_roll10,0.029412322535931314,1.1291610158740262
expected_goals_season_avg,0.02737096897714099,1.0507919290606391
expected_goals_conceded_lag1,0.027047057746823512,1.0383567351574212
minutes_trend,0.024770585901497336,0.9509612818287393
ict_index_lag1,0.02269303125632365,0.8712024082881584
GW,0.022344242745104412,0.8578121570024135
expected_assists_lag1,0.02118229090872699,0.8132039587087293
expected_goals_conceded_roll10,0.02054398817253728,0.7886990402293861
threat_season_avg,0.019683286215339758,0.7556560496540367
influence_roll3,0.019675509004607218,0.7553574767290085
us_xgbuildup_lag1,0.019670499351719672,0.7551651524153892
xg_momentum,0.01960322157935062,0.7525823085171838
starts_lag1,0.018782063668074982,0.721057443380938
us_npxg_lag1,0.018186641454961308,0.6981987401890344
total_points_roll5,0.018109872277759374,0.6952515141747931
us_xgchain_lag1,0.01793187826356398,0.6884181911129086
us_shots_roll10,0.017459474942589745,0.6702822750130533
us_npxg_roll3,0.01713604536266312,0.6578655720278502
season,0.01665794046009992,0.6395107679550639
points_momentum,0.016181716998232596,0.6212281937949228
bps_roll3,0.01591410893917301,0.6109545206616755
expected_goals_conceded_roll3,0.015758824720454322,0.6049930435990127
us_xgchain_roll10,0.015316162175333598,0.5879988980830549
minutes_roll10,0.014751086479013655,0.5663052203218764
influence_season_avg,0.014588850093264499,0.5600768443777306
expected_goal_involvements_roll10,0.014417810695346386,0.553510514225742
us_xg_roll10,0.014288261729829244,0.5485370327425962
creativity_lag1,0.014130987156618343,0.5424991444853522
expected_goals_roll5,0.0138784839652053,0.5328053584955149
creativity_season_avg,0.01361625722904332,0.5227382783649925
threat_roll5,0.013434808840362326,0.5157723392882181
us_xgbuildup_roll10,0.012419289134507794,0.47678577978405257
creativity_roll10,0.01233935124641586,0.47371690459357946
us_time_roll10,0.012269811137140589,0.4710472078929082
us_npxg_roll5,0.012103076012619007,0.46464612200937516
us_time_roll3,0.012085471308927606,0.4639702642942947
bps_momentum,0.012040489770546477,0.46224338946106913
us_xgbuildup_roll3,0.011836110751422864,0.45439712636589774
expected_goals_lag1,0.011683547268179087,0.4485401003689072
influence_roll10,0.011371748132980895,0.4365698988379355
us_time_roll5,0.011162646178043082,0.42854231871159965
bps_roll10,0.010825290390401835,0.4155909782175392
us_xg_lag1,0.010719583039216924,0.4115327941042823
games_since_start,0.010706497914741611,0.41103044640877695
us_npxg_roll10,0.010141256695392478,0.38933041409495917
threat_lag1,0.010093716061489627,0.38750529367451436
expected_goals_roll3,0.01003043119576127,0.38507574044259985
us_xa_lag1,0.009709451378489192,0.37275308567423776
us_xg_roll5,0.009585799315438813,0.36800599067831163
us_xa_roll5,0.009393821919704063,0.36063583516176306
us_xgchain_roll5,0.009211669237526438,0.35364285773195964
expected_goal_involvements_roll5,0.009178045588822624,0.3523520207611149
us_xgchain_roll3,0.009169394516481334,0.3520198996366659
influence_lag1,0.009133292892588869,0.3506339313487376
expected_goal_involvements_lag1,0.009125722568635905,0.3503433009616004
us_xgbuildup_roll5,0.009076167402056759,0.3484408411280406
threat_roll10,0.009050650847153731,0.34746124153944263
threat_roll3,0.008960244420755272,0.34399047134953614
influence_roll5,0.008862835409791433,0.34025086671134946
us_shots_roll3,0.008448151902827036,0.32433085735411166
us_shots_roll5,0.00836342648193964,0.32107818520614734
creativity_roll5,0.008317547489609375,0.3193168564459438
expected_assists_roll3,0.008199580643873555,0.3147880211862398
expected_goal_involvements_roll3,0.008086368037866267,0.3104417047383372
creativity_roll3,0.008083792622256785,0.3103428326107673
bps_lag1,0.007970330977708117,0.30598695538737564
us_xg_roll3,0.007920677914763856,0.30408073723928797
us_xa_roll10,0.007864738373808583,0.301933176508053
expected_goals_roll10,0.00774308674480208,0.2972628796682199
starts_roll5,0.00773960403787457,0.2971291759497375
starts_roll10,0.007739481008624704,0.29712445276500454
bps_roll5,0.0077355869650151616,0.2969749575242721
expected_assists_season_avg,0.007005642933403825,0.2689518613115017
us_xa_roll3,0.006927911969901344,0.2659677116032934
expected_assists_roll10,0.00687055197182529,0.263765618462945
expected_assists_roll5,0.006243097187781888,0.23967716096354366
us_key_passes_roll3,0.006107487044369193,0.23447098633684982
expected_goals_conceded_roll5,0.005993040031049407,0.23007728007084358
us_key_passes_roll10,0.005976505011432096,0.22944248832579278
bonus_roll5,0.005738254555943579,0.22029587550651566
total_points_lag1,0.005320980640179587,0.2042764184219484
us_key_passes_lag1,0.005056851704149579,0.194136311418667
consecutive_starts,0.0046335161508561,0.17788414354486184
us_key_passes_roll5,0.004002260001841251,0.15364974880682103
us_shots_lag1,0.003345057863825981,0.1284192681846485
bonus_roll3,0.00305937241072577,0.11745159040099226
bonus_lag1,0.0020562488838486,0.07894092946042823
starts_roll3,0.0015283129047081849,0.058673073163313674
played_lag1,9.244224507985407e-05,0.003548926788645341
