feature,importance,importance_pct
minutes_lag1,0.4041339988522922,18.535082216346137
value,0.1717070004890266,7.875119094717667
total_points_season_avg,0.11367333196977054,5.213480082965691
minutes_roll3,0.10909133180064856,5.003332582158592
ict_index_roll3,0.077674231785888,3.562427997475062
us_time_lag1,0.07022466150511131,3.220763109040097
team,0.07009774929437193,3.2149424449361286
total_points_roll10,0.05889606669864904,2.701191786830716
ict_index_roll10,0.0475521637516996,2.1809183765928224
opponent_team,0.043709689764077804,2.004688285887754
total_points_roll3,0.04358769006357221,1.9990929277004628
minutes_roll5,0.04059738465391432,1.8619464446592002
position,0.03213884246435731,1.4740063669643926
was_home,0.028786853159691924,1.320271720716543
minutes_season_avg,0.027700781578598177,1.2704604548849665
expected_goals_conceded_lag1,0.02509688789289312,1.151036244884739
ict_index_lag1,0.023014428696782694,1.0555269521211765
bps_season_avg,0.022448190838812762,1.029557186446212
ict_index_roll5,0.022435471330212498,1.0289738226650726
expected_goals_conceded_roll3,0.020348331390048085,0.9332498536403673
starts_lag1,0.019944382459847074,0.9147232593579167
GW,0.019050801417460274,0.8737403226719559
influence_roll3,0.017398847084900408,0.7979755776650965
season,0.01637878027697221,0.7511915352316233
creativity_season_avg,0.015302324788610286,0.701821299033511
minutes_trend,0.015268098313230219,0.7002515460878372
expected_goals_conceded_roll5,0.015238707169076183,0.6989035593436518
threat_season_avg,0.014926200953598178,0.6845708666886073
us_xgchain_lag1,0.014732972804347452,0.6757087079911313
minutes_roll10,0.014552082087694563,0.6674123896540035
total_points_roll5,0.014436118471214824,0.6620938686395357
starts_roll10,0.01426480101616628,0.6542366155417074
bps_roll3,0.014090482918001006,0.6462417418352975
points_momentum,0.013829110919957345,0.6342542538076927
us_time_roll5,0.01370906653799975,0.6287485737720773
expected_assists_lag1,0.013510043475114624,0.619620638869295
us_xgbuildup_lag1,0.013236223466129902,0.6070622389489075
expected_goals_conceded_roll10,0.012948285051653541,0.5938563166540246
creativity_lag1,0.012811471729971744,0.5875815509256644
us_xgchain_roll10,0.01278562962507189,0.5863963362683415
us_npxg_roll3,0.012673919545189791,0.5812728981985689
influence_season_avg,0.012390390217827292,0.5682691929712589
influence_roll10,0.01227671128262406,0.5630554559032507
us_time_roll3,0.012011425647915758,0.5508884740009655
expected_goal_involvements_roll10,0.011141337964427716,0.5109830297802843
us_shots_roll10,0.011092526825583636,0.5087443701423477
us_npxg_lag1,0.011037762232777701,0.5062326630524088
us_xgbuildup_roll10,0.010975200969384409,0.5033633717682152
us_xgbuildup_roll3,0.010471959418574142,0.4802828500960977
creativity_roll10,0.010389918710610149,0.4765201593264067
expected_goals_season_avg,0.009680251735710216,0.4439722030461841
bps_roll10,0.008988632440232997,0.41225198019810116
bps_momentum,0.008874685163191077,0.40702593597935505
us_xgbuildup_roll5,0.008654860188540607,0.39694394834672864
us_time_roll10,0.008246398604355554,0.3782103870363969
games_since_start,0.008153738895836624,0.37396066956541335
us_xgchain_roll5,0.00792493522358329,0.3634668856010321
starts_roll5,0.007792262393274262,0.3573820181446022
us_xgchain_roll3,0.007650402540038916,0.3508757997853868
bps_lag1,0.007426901071636712,0.3406251945305118
bps_roll5,0.00734090227271259,0.3366809710474779
bonus_roll10,0.00730409688328424,0.3349929395505079
xg_momentum,0.007188861633566694,0.32970782413383504
creativity_roll3,0.007144291517953912,0.32766367353126
creativity_roll5,0.007096533036889409,0.3254732926784432
us_xg_lag1,0.0068739241004520035,0.3152636222456699
us_xg_roll3,0.006861114254925875,0.3146761152784764
us_shots_roll5,0.0068001279680685815,0.3118790582523915
us_xg_roll10,0.006627526061474174,0.3039628954486905
influence_lag1,0.006530063411725928,0.2994928973014499
us_npxg_roll5,0.006511513656434632,0.29864213681014334
expected_goal_involvements_roll5,0.006312414025527294,0.28951069021423226
threat_lag1,0.006293804275280211,0.2886571781320147
expected_goal_involvements_lag1,0.00627432023628108,0.2877635679290102
influence_roll5,0.006161313904573187,0.2825806789488157
us_xg_roll5,0.006146227596083781,0.2818887649574504
consecutive_starts,0.00599916418372593,0.275143892101392
total_points_lag1,0.00595422334264956,0.2730827386557827
us_xa_roll10,0.005926704527665329,0.2718206238629722
us_npxg_roll10,0.005926543543364761,0.2718132405266159
expected_assists_season_avg,0.005693152267234745,0.261109052054641
us_xa_lag1,0.005501354505382049,0.2523124962218064
expected_goals_lag1,0.005438425836467585,0.2494263543594359
threat_roll5,0.005362169396220302,0.24592895153383038
expected_goals_roll5,0.005342799369308063,0.24504057034746446
us_xa_roll3,0.005211281787325986,0.23900868685868185
expected_goal_involvements_roll3,0.005026594420067931,0.23053824006091134
expected_assists_roll3,0.004879844652399678,0.22380775211214834
us_key_passes_lag1,0.004775888712978575,0.21903994764749138
us_xa_roll5,0.004759320476464977,0.2182800669474475
threat_roll3,0.004613195537863886,0.2115782359742517
us_key_passes_roll3,0.0045000856891017574,0.20639059931849293
threat_roll10,0.004262468828426436,0.1954926098864856
expected_assists_roll10,0.00402491353629556,0.18459744421599417
expected_goals_roll3,0.00391842713887425,0.17971358357390088
