feature,importance
team,430
value,336
opponent_team,206
minutes_trend,166
fdr_gw3,110
minutes_roll5,101
position,97
total_points_season_avg,92
fdr_defence_gw3,88
was_home_gw3,80
us_shots_roll10,69
total_points_roll10,69
ict_index_roll5,62
us_time_roll5,61
bps_roll5,59
opponent_gw3,51
bonus_roll10,51
threat_roll10,50
GW,50
influence_season_avg,49
fdr_attack_gw3,49
bps_season_avg,48
ict_index_roll10,47
opponent_gw2,47
threat_roll5,43
us_key_passes_roll5,43
us_time_roll10,41
us_xa_roll5,41
minutes_season_avg,40
us_xgchain_roll10,38
season,38
us_xgchain_roll5,36
total_points_roll5,36
creativity_roll5,35
expected_goals_conceded_roll5,33
creativity_season_avg,33
minutes_roll10,33
influence_roll5,31
influence_roll10,31
bps_roll10,30
threat_season_avg,30
us_npxg_roll10,29
us_xgbuildup_roll10,29
us_xg_roll5,29
games_since_start,28
expected_goal_involvements_roll10,25
us_xg_roll10,24
us_shots_roll5,24
expected_assists_roll5,24
us_xgbuildup_roll5,24
creativity_roll10,24
expected_assists_season_avg,23
expected_goals_roll10,23
us_key_passes_roll10,23
expected_goals_conceded_roll10,20
expected_goal_involvements_roll5,20
us_npxg_roll5,19
us_xa_roll10,19
expected_goals_season_avg,17
expected_assists_roll10,17
fdr_defence_gw2,15
fdr_attack_gw2,12
consecutive_starts,11
bonus_roll5,10
expected_goals_roll5,9
was_home,7
starts_roll10,7
starts_roll5,3
was_home_gw2,3
fdr_gw2,2
