feature,importance
team,1643.0
opponent_team,1118.0
value,617.3333333333334
total_points_season_avg,250.66666666666666
GW,244.0
opponent_gw2,243.66666666666666
us_time_lag1,237.33333333333334
us_xgbuildup_roll3,228.66666666666666
us_xgbuildup_lag1,225.0
us_xgchain_lag1,222.0
points_momentum,221.0
xg_momentum,214.0
minutes_trend,206.66666666666666
us_shots_roll10,204.33333333333334
opponent_gw3,201.0
bps_season_avg,198.66666666666666
us_xgbuildup_roll10,194.0
us_xgbuildup_roll5,193.0
total_points_roll10,190.66666666666666
us_time_roll10,186.0
us_time_roll5,184.66666666666666
fdr_attack_gw2,176.66666666666666
ict_index_roll10,176.0
bps_roll10,175.33333333333334
minutes_season_avg,174.0
influence_lag1,169.0
ict_index_lag1,168.0
fdr_defence_gw3,166.66666666666666
threat_roll3,163.0
us_xgchain_roll10,161.66666666666666
threat_roll5,161.33333333333334
creativity_lag1,161.33333333333334
expected_goal_involvements_lag1,160.66666666666666
season,160.0
us_xgchain_roll3,159.0
us_time_roll3,157.66666666666666
total_points_roll5,157.33333333333334
threat_roll10,154.66666666666666
threat_season_avg,153.0
ict_index_roll3,152.0
fdr_defence_gw2,152.0
influence_season_avg,151.66666666666666
bps_roll5,150.33333333333334
influence_roll5,150.33333333333334
bps_roll3,149.66666666666666
games_since_start,149.0
bps_lag1,147.0
ict_index_roll5,146.66666666666666
bps_momentum,146.33333333333334
us_xa_lag1,145.66666666666666
position,143.33333333333334
expected_assists_lag1,142.33333333333334
influence_roll10,142.33333333333334
us_xgchain_roll5,141.66666666666666
us_npxg_lag1,141.33333333333334
influence_roll3,141.0
creativity_roll10,137.33333333333334
fdr_attack_gw3,134.66666666666666
minutes_roll3,131.66666666666666
expected_goals_lag1,131.0
expected_goals_season_avg,129.66666666666666
minutes_roll5,127.66666666666667
minutes_roll10,127.66666666666667
total_points_roll3,127.33333333333333
expected_goals_conceded_lag1,125.33333333333333
expected_assists_season_avg,125.0
creativity_season_avg,124.0
us_xa_roll3,124.0
creativity_roll3,122.0
us_xa_roll10,121.33333333333333
bonus_roll10,120.66666666666667
minutes_lag1,119.66666666666667
expected_assists_roll3,117.66666666666667
creativity_roll5,117.33333333333333
expected_assists_roll10,117.0
expected_goal_involvements_roll3,113.66666666666667
us_shots_roll5,113.0
us_xg_lag1,112.66666666666667
threat_lag1,111.33333333333333
us_npxg_roll3,111.0
us_xa_roll5,110.0
expected_goals_conceded_roll3,109.33333333333333
us_key_passes_roll10,107.33333333333333
total_points_lag1,107.0
expected_goal_involvements_roll10,106.66666666666667
us_npxg_roll10,103.33333333333333
expected_goals_conceded_roll10,102.0
expected_goal_involvements_roll5,102.0
expected_assists_roll5,100.66666666666667
expected_goals_roll10,99.66666666666667
us_xg_roll10,99.0
us_npxg_roll5,93.66666666666667
us_key_passes_roll5,90.0
was_home_gw2,88.66666666666667
expected_goals_roll5,88.33333333333333
us_xg_roll5,85.33333333333333
expected_goals_roll3,85.33333333333333
was_home,81.33333333333333
us_xg_roll3,79.66666666666667
expected_goals_conceded_roll5,71.0
us_shots_roll3,70.0
us_shots_lag1,56.0
us_key_passes_roll3,54.666666666666664
bonus_roll5,45.0
consecutive_starts,38.333333333333336
starts_roll10,34.666666666666664
us_key_passes_lag1,30.0
bonus_roll3,30.0
was_home_gw3,28.333333333333332
fdr_gw3,25.0
fdr_gw2,20.333333333333332
bonus_lag1,20.333333333333332
starts_roll5,10.666666666666666
starts_lag1,6.0
starts_roll3,4.333333333333333
played_lag1,1.6666666666666667
