feature,importance
team,1534
opponent_team,1080
value,654
GW,288
us_xgbuildup_lag1,273
total_points_season_avg,235
opponent_gw2,234
us_time_roll10,228
fdr_defence_gw2,226
xg_momentum,210
us_xgbuildup_roll10,207
us_xgchain_lag1,206
minutes_trend,205
us_shots_roll10,204
us_xgbuildup_roll3,202
points_momentum,197
total_points_roll10,187
us_xgbuildup_roll5,185
bps_season_avg,184
ict_index_roll10,179
fdr_gw2,179
influence_season_avg,179
influence_lag1,175
bps_roll10,173
position,172
opponent_gw3,170
bps_lag1,169
us_xgchain_roll10,168
was_home_gw2,167
fdr_attack_gw2,165
us_xgchain_roll5,164
threat_season_avg,163
bps_roll3,162
games_since_start,158
ict_index_lag1,158
us_time_lag1,157
ict_index_roll5,156
minutes_season_avg,156
expected_assists_season_avg,155
us_time_roll5,154
expected_assists_lag1,154
us_time_roll3,153
expected_goals_lag1,153
ict_index_roll3,152
minutes_roll3,149
creativity_season_avg,148
threat_roll10,147
us_xgchain_roll3,144
creativity_lag1,144
us_xa_roll3,143
creativity_roll5,143
minutes_roll5,141
threat_roll5,141
us_key_passes_roll10,140
influence_roll10,140
bps_momentum,138
influence_roll5,137
bps_roll5,137
threat_roll3,136
bonus_roll10,135
expected_goals_conceded_lag1,133
expected_goal_involvements_lag1,133
influence_roll3,132
fdr_defence_gw3,129
creativity_roll3,129
fdr_attack_gw3,128
expected_goals_season_avg,128
minutes_roll10,128
us_npxg_roll3,128
expected_assists_roll5,126
season,125
total_points_roll5,124
expected_assists_roll10,124
expected_goal_involvements_roll3,123
us_xa_roll10,123
expected_goal_involvements_roll10,121
us_xg_lag1,119
threat_lag1,118
total_points_roll3,118
expected_goals_conceded_roll10,117
us_xa_roll5,116
us_xa_lag1,113
expected_goal_involvements_roll5,110
creativity_roll10,109
expected_assists_roll3,107
us_npxg_lag1,106
minutes_lag1,102
us_npxg_roll10,102
us_npxg_roll5,97
us_shots_roll5,96
expected_goals_roll10,96
us_key_passes_roll5,92
expected_goals_conceded_roll5,90
total_points_lag1,90
us_xg_roll10,88
us_xg_roll5,88
expected_goals_roll5,86
us_key_passes_roll3,86
expected_goals_conceded_roll3,83
us_xg_roll3,81
us_shots_roll3,79
expected_goals_roll3,78
bonus_roll5,48
us_key_passes_lag1,42
consecutive_starts,39
us_shots_lag1,37
bonus_roll3,30
starts_roll10,27
was_home_gw3,23
was_home,20
fdr_gw3,14
starts_roll5,8
bonus_lag1,5
starts_roll3,5
played_lag1,5
starts_lag1,3
